Temp [deg C],X_accel [g],Y_accel [g],Z_accel [g]
21.795580,0.030799,0.042503,1.041580
21.795580,0.034143,0.044422,1.042055
21.795580,0.037848,0.046341,1.041618
21.906077,0.032167,0.042446,1.042435
22.016575,0.032319,0.045410,1.041599
21.685083,0.034561,0.044137,1.040991
21.685083,0.033003,0.044726,1.038198
21.906077,0.017271,0.019684,1.042074
21.906077,0.037468,0.049134,1.045665
21.795580,0.036081,0.045581,1.043537
21.906077,0.032338,0.047690,1.039186
21.795580,0.031920,0.045106,1.044316
21.906077,0.034960,0.044821,1.043499
21.795580,0.033611,0.043681,1.045190
21.906077,0.030533,0.042104,1.042245
21.795580,0.032623,0.045980,1.042245
21.574586,0.036081,0.038285,1.047204
21.685083,0.032224,0.040983,1.039756
21.795580,0.033896,0.043548,1.043898
21.795580,0.036632,0.043795,1.044411
21.906077,0.036043,0.044346,1.043708
21.685083,0.037012,0.048127,1.041561
21.906077,0.036993,0.048944,1.041333
21.574586,0.034333,0.046873,1.040326
21.795580,0.031597,0.043890,1.044506
21.574586,0.037335,0.051680,1.044525
21.464088,0.028120,0.042560,1.047774
21.685083,0.028367,0.042579,1.043879
21.906077,0.032167,0.039444,1.043043
21.795580,0.032205,0.046303,1.042606
21.906077,0.037278,0.044897,1.038198
21.685083,0.037050,0.042541,1.041010
21.795580,0.037506,0.047747,1.048135
21.574586,0.030533,0.042883,1.044335
21.795580,0.033877,0.043016,1.039547
21.795580,0.036252,0.045334,1.045513
21.795580,0.032357,0.045695,1.044031
21.685083,0.034637,0.044042,1.044259
21.906077,0.033003,0.042712,1.041257
21.795580,0.029754,0.042104,1.044164
21.795580,0.035701,0.045258,1.042739
22.016575,0.037107,0.043947,1.041105
21.795580,0.035093,0.042332,1.041903
21.574586,0.036366,0.041135,1.046653
21.795580,0.032889,0.043206,1.044829
22.016575,0.028975,0.042788,1.041713
22.016575,0.028956,0.045619,1.044848
21.795580,0.036670,0.045619,1.041732
21.574586,0.031483,0.046474,1.041504
21.574586,0.032528,0.046189,1.046292
21.906077,0.031521,0.046018,1.044905
22.016575,0.034941,0.049495,1.044297
21.795580,0.035625,0.044213,1.041523
21.906077,0.031692,0.045771,1.039737
21.795580,0.033402,0.044840,1.043841
21.574586,0.031692,0.046911,1.041390
21.795580,0.033117,0.046778,1.043480
21.906077,0.035530,0.044061,1.043062
21.574586,0.029450,0.046018,1.043043
21.795580,0.032319,0.044802,1.043708
21.795580,0.033288,0.041078,1.040763
21.795580,0.034352,0.049362,1.042169
21.574586,0.034789,0.045657,1.044069
21.795580,0.033117,0.045790,1.040706
21.685083,0.031692,0.047652,1.046862
21.795580,0.032167,0.047519,1.044164
21.795580,0.037050,0.046455,1.042929
21.795580,0.032623,0.047310,1.044031
21.795580,0.031141,0.049362,1.044658
21.906077,0.028690,0.044650,1.043081
21.574586,0.027379,0.048051,1.044734
21.795580,0.034941,0.045866,1.045437
21.906077,0.033991,0.042313,1.044772
21.795580,0.033060,0.045524,1.044050
21.795580,0.035777,0.045030,1.043879
21.906077,0.032528,0.048013,1.042758
21.574586,0.038532,0.048583,1.045019
21.685083,0.033535,0.045999,1.045722
21.906077,0.031996,0.045714,1.046425
21.906077,0.032680,0.044688,1.040345
21.574586,0.030020,0.044726,1.039376
21.795580,0.032357,0.045581,1.041105
21.795580,0.033972,0.045372,1.043613
21.574586,0.028462,0.044688,1.045627
21.906077,0.031768,0.046854,1.044829
21.795580,0.031597,0.050103,1.040744
21.906077,0.031749,0.040489,1.045285
21.795580,0.031559,0.042085,1.039509
21.795580,0.036556,0.047063,1.042967
21.795580,0.034333,0.046702,1.045437
21.906077,0.040242,0.034466,1.034170
21.574586,0.039083,0.038152,1.042188
21.906077,0.040660,0.045334,1.044373
21.906077,0.034504,0.052155,1.048078
21.795580,0.030267,0.045771,1.042435
21.906077,0.030685,0.045790,1.042473
21.906077,0.031768,0.043320,1.042188
21.906077,0.032376,0.045467,1.045608
21.574586,0.027873,0.044460,1.041751
21.685083,0.035967,0.042275,1.043784
21.906077,0.032927,0.044156,1.044012
21.906077,0.025593,0.046531,1.044924
21.685083,0.032414,0.049723,1.038711
21.574586,0.033459,0.045372,1.042967
21.906077,0.038380,0.040584,1.045437
21.906077,0.019608,0.042161,1.036203
21.795580,0.029583,0.044384,1.044487
21.906077,0.029982,0.042218,1.041295
21.906077,0.033611,0.044954,1.043309
21.574586,0.032946,0.045429,1.042815
21.795580,0.033744,0.047937,1.039623
21.685083,0.032224,0.040983,1.047983
21.574586,0.033459,0.045505,1.039262
21.795580,0.031426,0.043814,1.045931
21.574586,0.033953,0.041876,1.043955
21.795580,0.031939,0.052117,1.044601
21.795580,0.032224,0.049476,1.046159
21.906077,0.032965,0.044802,1.042815
21.906077,0.023332,0.034485,1.041561
21.906077,0.028975,0.045087,1.047166
21.685083,0.036271,0.040432,1.043309
21.795580,0.068780,0.045866,1.042739
21.795580,0.051623,0.045809,1.052505
21.906077,0.031578,0.053998,1.048154
21.795580,0.025973,0.045771,1.046748
22.016575,0.028785,0.054948,1.041884
21.795580,0.039273,0.042199,1.040497
21.795580,0.027303,0.047576,1.039053
22.016575,0.023522,0.047139,1.043404
21.574586,0.030818,0.048108,1.046615
21.464088,0.029184,0.045391,1.044525
21.795580,0.026619,0.042465,1.045266
21.464088,0.025403,0.037050,1.048325
21.795580,0.029640,0.049153,1.048439
21.795580,0.031901,0.042161,1.048477
21.795580,0.035226,0.043814,1.047071
22.016575,0.031046,0.040869,1.041238
21.795580,0.034941,0.053922,1.045247
21.906077,0.031806,0.035967,1.039471
21.906077,0.033098,0.045657,1.045342
21.795580,0.031350,0.051490,1.045817
21.795580,0.032585,0.042617,1.041599
21.795580,0.032357,0.048640,1.039395
21.795580,0.028918,0.044954,1.041523
21.906077,0.033421,0.048089,1.042872
22.016575,0.031692,0.043814,1.040079
21.574586,0.034941,0.049248,1.040763
21.685083,0.032110,0.045163,1.043043
21.795580,0.035245,0.042940,1.047090
21.795580,0.035549,0.040698,1.045437
21.685083,0.034029,0.051851,1.045247
21.795580,0.031806,0.051889,1.040573
21.795580,0.034029,0.047747,1.041903
21.906077,0.030476,0.042940,1.043765
21.906077,0.032680,0.044004,1.044943
21.795580,0.035853,0.046626,1.045038
21.795580,0.036347,0.043966,1.040725
21.906077,0.035986,0.046892,1.045247
21.795580,0.033630,0.047766,1.044354
21.795580,0.037487,0.044574,1.040402
21.906077,0.029260,0.046873,1.043404
21.906077,0.023009,0.058881,1.046197
21.906077,0.035549,0.034371,1.040155
21.906077,0.081757,-0.352412,0.992921
21.795580,0.001140,0.102277,0.876983
21.906077,-0.013091,-0.029925,1.015512
21.464088,-0.102505,-0.057532,1.181211
21.795580,0.301948,0.207195,1.003561
21.906077,-0.140277,0.054226,1.012092
21.795580,0.004826,0.041762,1.078896
21.795580,0.103588,0.015390,1.103463
21.906077,0.062339,0.126046,1.075780
21.574586,-0.005890,0.017461,1.073557
21.574586,0.094240,0.028690,1.043005
21.795580,0.089699,0.147706,1.032403
21.685083,0.002926,0.080256,1.046045
21.574586,0.026657,0.038342,1.040820
21.685083,0.122531,0.077729,1.048268
21.906077,0.112708,0.102353,1.038597
